job_id,subtime,start_time,finish_time,waiting_time
34036,0,0.0,132.0,0.0
34040,297,297.0,321.0,0.0
34041,328,328.0,337.0,0.0
34039,256,256.0,367.0,0.0
34042,455,455.0,571.0,0.0
34045,576,576.0,729.0,0.0
34047,871,871.0,1016.0,0.0
34044,494,494.0,1249.0,0.0
34051,1326,1326.0,1360.0,0.0
34049,1307,1307.0,1375.0,0.0
34048,1300,1300.0,1500.0,0.0
34050,1316,1316.0,1506.0,0.0
34043,490,490.0,1611.0,0.0
34052,1343,1343.0,1681.0,0.0
34056,1535,1535.0,1875.0,0.0
34061,1817,1875.0,1903.0,58.0
34060,1795,1875.0,1913.0,80.0
34062,1906,1906.0,2934.0,0.0
34075,2953,2953.0,2972.0,0.0
34088,4150,4150.0,4175.0,0.0
34092,4297,4297.0,4338.0,0.0
34073,2846,2846.0,5113.0,0.0
34079,3252,5113.0,5121.0,1861.0
34058,1651,1875.0,5328.0,224.0
34070,2349,5328.0,5405.0,2979.0
34104,5175,5328.0,5406.0,153.0
34065,2030,5328.0,5482.0,3298.0
34105,5274,5406.0,5482.0,132.0
34106,5450,5482.0,5551.0,32.0
34109,5587,5587.0,5629.0,0.0
34063,1924,5328.0,5720.0,3404.0
34111,5731,5731.0,5818.0,0.0
34074,2889,6000.0,6279.0,3111.0
34115,6193,6279.0,6324.0,86.0
34064,1927,5328.0,6339.0,3401.0
34086,3968,6279.0,6365.0,2311.0
34078,3239,6000.0,6708.0,2761.0
34101,5044,6708.0,6934.0,1664.0
34080,3267,6000.0,7126.0,2733.0
34130,7161,7161.0,7234.0,0.0
34089,4161,6365.0,7241.0,2204.0
34132,7224,7224.0,7321.0,0.0
34133,7267,7267.0,7326.0,0.0
34136,7388,7388.0,7404.0,0.0
34112,5815,7241.0,7467.0,1426.0
34123,6928,7467.0,7553.0,539.0
34135,7385,7467.0,7557.0,82.0
34121,6675,7467.0,7583.0,792.0
34125,7007,7583.0,7675.0,576.0
34127,7067,7583.0,7712.0,516.0
34124,6935,7583.0,7865.0,648.0
34137,7451,7865.0,7917.0,414.0
34139,7558,7865.0,7926.0,307.0
34146,7892,7926.0,7951.0,34.0
34138,7556,7865.0,7973.0,309.0
34144,7822,7926.0,7981.0,104.0
34151,8010,8010.0,8013.0,0.0
34141,7698,7917.0,8016.0,219.0
34072,2800,5720.0,8027.0,2920.0
34149,7945,7945.0,8047.0,0.0
34148,7923,7926.0,8048.0,3.0
34154,8466,8466.0,8549.0,0.0
34158,8772,8772.0,8811.0,0.0
34159,8795,8795.0,8811.0,0.0
34160,8831,8831.0,8928.0,0.0
34161,8852,8852.0,8928.0,0.0
34163,9003,9003.0,9023.0,0.0
34164,9047,9047.0,9085.0,0.0
34166,9098,9098.0,9144.0,0.0
34168,9121,9121.0,9144.0,0.0
34169,9137,9137.0,9182.0,0.0
34172,9196,9196.0,9265.0,0.0
34175,9240,9240.0,9327.0,0.0
34177,9381,9381.0,9421.0,0.0
34178,9451,9451.0,9530.0,0.0
34179,9541,9541.0,9545.0,0.0
34173,9208,9208.0,9581.0,0.0
34174,9233,9233.0,9588.0,0.0
34180,9565,9565.0,9668.0,0.0
34181,9569,9668.0,9918.0,99.0
34189,9758,9918.0,9935.0,160.0
34185,9632,9918.0,9947.0,286.0
34182,9572,9918.0,9960.0,346.0
34183,9594,9918.0,9960.0,324.0
34192,9892,9960.0,9965.0,68.0
34190,9780,9918.0,10035.0,138.0
34188,9750,9918.0,10055.0,168.0
34193,9899,10055.0,10151.0,156.0
34196,10175,10175.0,10216.0,0.0
34195,10146,10151.0,10232.0,5.0
34197,10231,10231.0,10255.0,0.0
34200,10290,10290.0,10367.0,0.0
34198,10265,10265.0,10368.0,0.0
34202,10369,10369.0,10462.0,0.0
34103,5114,6934.0,10471.0,1820.0
34205,10509,10509.0,10593.0,0.0
34207,10826,10826.0,10951.0,0.0
34208,10847,10847.0,10951.0,0.0
34217,11327,11327.0,11376.0,0.0
34218,11441,11441.0,11458.0,0.0
34219,11479,11479.0,11516.0,0.0
34215,11136,11136.0,11555.0,0.0
34220,11536,11536.0,11579.0,0.0
34222,11598,11598.0,11660.0,0.0
34224,11692,11692.0,11842.0,0.0
34228,11883,11883.0,11938.0,0.0
34226,11739,11842.0,11965.0,103.0
34211,11028,11028.0,12010.0,0.0
34213,11050,11050.0,12010.0,0.0
34232,12208,12208.0,12258.0,0.0
34230,12110,12110.0,12673.0,0.0
34231,12135,12135.0,12674.0,0.0
34239,12554,14977.0,14980.0,2423.0
34245,12983,14977.0,14995.0,1994.0
34243,12908,14977.0,15034.0,2069.0
34234,12277,14977.0,15035.0,2700.0
34266,14639,15035.0,15040.0,396.0
34267,14687,15035.0,15095.0,348.0
34261,14392,15035.0,15134.0,643.0
34257,14129,15035.0,15213.0,906.0
34274,15273,15273.0,15334.0,0.0
34250,13548,15035.0,15419.0,1487.0
34277,15445,15445.0,15506.0,0.0
34279,15528,15528.0,15535.0,0.0
34280,15572,15572.0,15582.0,0.0
34282,15596,15596.0,15607.0,0.0
34248,13032,14977.0,15920.0,1945.0
34288,15920,15920.0,15933.0,0.0
34246,13009,14977.0,15940.0,1968.0
34287,15894,15894.0,15955.0,0.0
34290,15962,15962.0,15980.0,0.0
34273,15235,15235.0,16181.0,0.0
34256,13947,15035.0,16248.0,1088.0
34275,15281,16248.0,16273.0,967.0
34276,15356,16273.0,16290.0,917.0
34278,15500,16290.0,16302.0,790.0
34289,15948,16302.0,16321.0,354.0
34297,16684,16684.0,16769.0,0.0
34298,16798,16798.0,16828.0,0.0
34296,16626,16626.0,16878.0,0.0
34305,17070,17070.0,17124.0,0.0
34303,16985,16985.0,17160.0,0.0
34302,16961,16961.0,17204.0,0.0
34306,17083,17083.0,17240.0,0.0
34309,17276,17276.0,17549.0,0.0
34313,17575,17575.0,17773.0,0.0
34317,17834,17834.0,17893.0,0.0
34318,17972,17972.0,18272.0,0.0
34319,18115,18272.0,18459.0,157.0
34311,17538,17538.0,18466.0,0.0
34324,18394,18466.0,18660.0,72.0
34128,7125,7813.0,18820.0,688.0
34131,7168,7865.0,18832.0,697.0
34326,18542,18660.0,18832.0,118.0
34330,18742,18832.0,18913.0,90.0
34331,18846,18913.0,18933.0,67.0
34335,18950,18950.0,18964.0,0.0
34334,18944,18944.0,18980.0,0.0
34328,18681,18820.0,19075.0,139.0
34332,18872,18933.0,19130.0,61.0
34329,18736,18832.0,19200.0,96.0
34340,19241,19241.0,19249.0,0.0
34343,19419,19419.0,19438.0,0.0
34327,18547,18660.0,19460.0,113.0
34348,19657,19657.0,19743.0,0.0
34345,19530,19530.0,19748.0,0.0
34349,19684,19684.0,19761.0,0.0
34346,19578,19578.0,19901.0,0.0
34356,19895,19895.0,19918.0,0.0
34357,19961,19961.0,20005.0,0.0
34354,19802,19802.0,20011.0,0.0
34358,19996,19996.0,20017.0,0.0
34359,20108,20108.0,20151.0,0.0
34360,20128,20128.0,20335.0,0.0
34361,20174,20335.0,20401.0,161.0
34365,20386,20386.0,20452.0,0.0
34368,20481,20481.0,20560.0,0.0
34308,17256,17256.0,20719.0,0.0
34370,20556,20719.0,20740.0,163.0
34367,20467,20467.0,20773.0,0.0
34372,20895,20895.0,20945.0,0.0
34341,19252,19252.0,21008.0,0.0
34342,19293,19293.0,21008.0,0.0
34352,19766,19766.0,21008.0,0.0
34353,19788,19788.0,21008.0,0.0
34371,20883,20883.0,21008.0,0.0
34374,22088,22088.0,22136.0,0.0
34376,22151,22151.0,22211.0,0.0
34375,22101,22101.0,22324.0,0.0
34377,22216,22216.0,22348.0,0.0
34378,22238,22238.0,22357.0,0.0
34379,22327,22327.0,22396.0,0.0
34381,22413,22413.0,22495.0,0.0
34382,22503,22503.0,22509.0,0.0
34380,22374,22374.0,22549.0,0.0
34384,22554,22554.0,22568.0,0.0
34385,22557,22557.0,22587.0,0.0
34383,22515,22549.0,22627.0,34.0
34387,22626,22626.0,22689.0,0.0
34389,22724,22724.0,22821.0,0.0
34390,22763,22763.0,22835.0,0.0
34398,23295,23295.0,23356.0,0.0
34388,22703,22703.0,23499.0,0.0
34392,22857,23499.0,23523.0,642.0
34400,23429,23499.0,23587.0,70.0
34391,22840,23499.0,23650.0,659.0
34396,23067,23650.0,23721.0,583.0
34397,23194,23721.0,24040.0,527.0
34407,23865,24040.0,24121.0,175.0
34404,23573,24040.0,24160.0,467.0
34402,23521,24040.0,24376.0,519.0
34411,24535,24535.0,24747.0,0.0
34413,24822,24822.0,24835.0,0.0
34415,24954,24954.0,24995.0,0.0
34419,25095,25095.0,25135.0,0.0
34421,25250,25250.0,25346.0,0.0
34422,25424,25424.0,25702.0,0.0
34424,25808,25808.0,25826.0,0.0
34393,22886,23499.0,26576.0,613.0
34394,22908,23587.0,26646.0,679.0
34408,24089,26789.0,26817.0,2700.0
34410,24194,26817.0,27012.0,2623.0
34426,26092,27012.0,27458.0,920.0
34430,27374,27458.0,27477.0,84.0
34431,27447,27458.0,27477.0,11.0
34428,27102,27458.0,27481.0,356.0
34432,27527,27527.0,27548.0,0.0
34433,27555,27555.0,27578.0,0.0
34434,27599,27599.0,27703.0,0.0
34436,27750,27750.0,28210.0,0.0
34438,28356,28356.0,28825.0,0.0
34446,30568,34825.0,35044.0,4257.0
34454,31727,37525.0,48451.0,5798.0
34455,42658,48451.0,48536.0,5793.0
34463,44124,48536.0,48560.0,4412.0
34475,48441,48536.0,48584.0,95.0
34473,47990,48536.0,48619.0,546.0
34474,48084,48619.0,48975.0,535.0
34480,48923,48975.0,48992.0,52.0
34476,48659,48975.0,49092.0,316.0
34478,48784,49092.0,49182.0,308.0
34489,51180,55182.0,55353.0,4002.0
34496,52303,55182.0,55468.0,2879.0
34499,53039,55353.0,55474.0,2314.0
34505,53376,55468.0,55608.0,2092.0
34508,54553,55474.0,55758.0,921.0
34514,54927,55608.0,55860.0,681.0
34517,55952,55952.0,57869.0,0.0
34530,57895,57895.0,58838.0,0.0
34533,58847,58847.0,59575.0,0.0
34539,59631,59631.0,59758.0,0.0
34542,60245,60245.0,60655.0,0.0
34546,60663,60663.0,60766.0,0.0
34548,60778,60778.0,60892.0,0.0
34550,61128,61128.0,61251.0,0.0
34552,61376,61376.0,61464.0,0.0
34553,61592,61592.0,61718.0,0.0
34560,62489,62489.0,62605.0,0.0
34562,62765,62765.0,62877.0,0.0
34569,63954,63954.0,64170.0,0.0
34571,64245,64245.0,64368.0,0.0
34572,64403,64403.0,64510.0,0.0
34573,64559,64559.0,64679.0,0.0
34602,70008,72708.0,72729.0,2700.0
34603,70141,72729.0,72749.0,2588.0
34604,70340,72749.0,72789.0,2409.0
34605,70430,72789.0,72843.0,2359.0
34608,70831,72841.0,72903.0,2010.0
34614,71444,72903.0,72968.0,1459.0
34613,71099,72843.0,72989.0,1744.0
34617,71941,72989.0,73006.0,1048.0
34616,71846,72968.0,73038.0,1122.0
34621,72033,73040.0,73060.0,1007.0
34622,72062,73060.0,73076.0,998.0
34619,71972,73038.0,73083.0,1066.0
34618,71964,73006.0,73089.0,1042.0
34623,72106,73076.0,73099.0,970.0
34624,72143,73130.0,73168.0,987.0
34645,73921,73921.0,74022.0,0.0
34649,74239,74239.0,74322.0,0.0
34650,74690,74690.0,74830.0,0.0
34625,72201,74843.0,74940.0,2642.0
34633,72852,74940.0,74975.0,2088.0
34636,73129,74940.0,74981.0,1811.0
34637,73234,74940.0,74981.0,1706.0
34627,72369,74843.0,75009.0,2474.0
34638,73308,74940.0,75009.0,1632.0
34629,72437,74901.0,75018.0,2464.0
34634,72949,74940.0,75025.0,1991.0
34639,73328,74940.0,75060.0,1612.0
34641,73706,75018.0,75121.0,1312.0
34643,73858,75025.0,75162.0,1167.0
34651,74929,75121.0,75198.0,192.0
34648,74031,75121.0,75213.0,1090.0
34652,75254,75254.0,75332.0,0.0
34653,75540,75540.0,75683.0,0.0
34655,76323,76323.0,76340.0,0.0
34654,76254,76254.0,76387.0,0.0
34658,76559,76559.0,76639.0,0.0
34657,76546,76546.0,76767.0,0.0
34660,76892,76892.0,76961.0,0.0
34661,77147,77147.0,77288.0,0.0
34663,78558,78558.0,78667.0,0.0
34665,78824,78824.0,78837.0,0.0
34666,78949,78949.0,79043.0,0.0
34656,76444,79144.0,79241.0,2700.0
34659,76771,79241.0,79335.0,2470.0
34668,79279,79335.0,79512.0,56.0
34669,79476,79476.0,79626.0,0.0
34675,80027,80027.0,80505.0,0.0
34677,80531,80531.0,80689.0,0.0
34679,80827,80827.0,80970.0,0.0
34686,81836,81836.0,81871.0,0.0
34687,81884,81884.0,81902.0,0.0
34689,81929,85335.0,87333.0,3406.0
34688,81907,85335.0,87352.0,3428.0
34724,88999,91699.0,91793.0,2700.0
34739,91111,91793.0,91833.0,682.0
34747,91713,91833.0,91898.0,120.0
34726,89123,91823.0,91906.0,2700.0
34749,92227,92227.0,92304.0,0.0
34729,89766,92158.0,92364.0,2392.0
34735,90544,92364.0,92522.0,1820.0
34737,90780,92466.0,92533.0,1686.0
34751,92446,92446.0,92570.0,0.0
34740,91393,92522.0,92686.0,1129.0
34745,91682,92533.0,92714.0,851.0
34727,89458,91906.0,92836.0,2448.0
34753,92776,92776.0,92879.0,0.0
34750,92393,92686.0,92889.0,293.0
34758,93231,93231.0,93272.0,0.0
34760,93363,93363.0,93403.0,0.0
34761,93446,93446.0,93487.0,0.0
34763,93630,93630.0,93679.0,0.0
34764,93687,93687.0,93718.0,0.0
34767,93768,93768.0,93793.0,0.0
34769,93808,93808.0,93842.0,0.0
34771,93848,93848.0,93877.0,0.0
34772,93961,93961.0,93997.0,0.0
34762,93491,93491.0,94077.0,0.0
34773,94049,94049.0,94107.0,0.0
34777,94288,94288.0,94290.0,0.0
34776,94215,94215.0,94299.0,0.0
34778,94315,94315.0,94335.0,0.0
34779,94343,94343.0,94378.0,0.0
34781,95070,95070.0,95074.0,0.0
34782,95079,95079.0,95089.0,0.0
34784,95142,95142.0,95304.0,0.0
34787,95335,95335.0,95366.0,0.0
34788,95427,95427.0,95457.0,0.0
34789,95462,95462.0,95494.0,0.0
34791,95570,95570.0,95595.0,0.0
34792,95601,95601.0,95633.0,0.0
